English,Transliteration,Arabic (Iraqi),Category
Boy / son,wa-lad,ولد,People
Girl,bnay-ya,بنية,People
Wife / woman,ma-ra,مرة,People
Man,rij-jaal,رجال,People
Friend (formal),sa-deeq,صديق,People
Friend (Iraqi),saa-hib,صاحب,People
Neighbour,jaar,جار,People
Doctor,duk-toor,دكتور,People
Teacher,m'al-lim,معلم,People
Student,taa-lib,طالب,People
Manager,mu-deer,مدير,People
Engineer,mu-han-dis,مهندس,People
Police officer,shur-ti,شرطي,People
Driver,saw-waag,سواق,People
Guest,dhayf,ضيف,People
Face,wi-jih,وجه,Body
Teeth,as-naan,اسنان,Body
Tongue,lsaan,لسان,Body
Back (body),dha-har,ظهر,Body
Finger,us-ba',اصبع,Body
Knee,ruk-ba,ركبة,Body
Forehead,jib-ha,جبهة,Body
Cheek,khad,خد,Body
Neck,rug-ba,رقبة,Body
Chest,si-dir,صدر,Body
Clothes,ma-laa-bis,ملابس,Clothing
Socks,chwaa-rib,جوارب,Clothing
Belt,h-zaam,حزام,Clothing
Glasses,nadh-dhaa-ra,نظارة,Clothing
Scarf / shawl,shaal,شال,Clothing
Dishdasha,dish-daa-sha,دشداشة,Clothing
Jacket,jaa-kayt,جاكيت,Clothing
Dress,fis-taan,فستان,Clothing
Tie,kraf-ta,كرفته,Clothing
Bag,shan-ta,شنطة,Clothing
Butter,zib-da,زبدة,Food
Yogurt drink,li-ban,لبن,Food
Yogurt,maast,ماست,Food
Juice,'a-seer,عصير,Food
Stew / sauce,mar-ga,مرگة,Food
Kebab,ka-baab,كباب,Food
Dolma,dol-ma,دولمة,Food
Garlic,thoom,ثوم,Food
Onion,ba-sal,بصل,Food
Tomato,ta-maa-ta,طماطة,Food
Cucumber,khyaar,خيار,Food
Eggplant,baa-din-jaan,باذنجان,Food
Potato,ba-taa-ta,بطاطا,Food
Pepper,fil-fil,فلفل,Food
Vinegar,khal,خل,Food
Olive,zay-toon,زيتون,Food
Figs,teen,تين,Food
Grapes,'i-nab,عنب,Food
Banana,mooz,موز,Food
Lemon,lay-moon,ليمون,Food
Orange (fruit),bur-tu-qaal,برتقال,Food
Apricot,mish-mish,مشمش,Food
Peach,khookh,خوخ,Food
Soup,shor-ba,شوربة,Food
Salad,sa-la-ta,سلطة,Food
Cola / soda,koo-la,كولا,Drinks
Sherbet drink,shar-bat,شربت,Drinks
Cake,keek,كيك,Sweets
Sweets,ha-la-wiy-yaat,حلويات,Sweets
Biscuit,bas-kweet,بسكويت,Sweets
Today,il-yoom,اليوم,Time
Yesterday,ams,امس,Time
Week,us-buu',اسبوع,Time
Month,sha-har,شهر,Time
Morning,su-buh,صبح,Time
Evening,mi-sa,مساء,Time
Night,layl,ليل,Time
Afternoon,'a-sir,عصر,Time
Minute,da-qee-qa,دقيقة,Time
Second (time),thaa-niy-ya,ثانية,Time
Saturday,is-sa-bit,السبت,Days
Sunday,il-a-had,الاحد,Days
Monday,ith-thnayn,الاثنين,Days
Tuesday,ith-tha-laa-tha,الثلاثاء,Days
Wednesday,il-ar-ba-'aa,الاربعاء,Days
Thursday,il-kha-mees,الخميس,Days
Friday,il-jum-'a,الجمعة,Days
Eleven,ih-da-'ash,احدعش,Numbers
Twelve,thna-'ash,اثنعش,Numbers
Thirteen,tha-lath-ta-'ash,ثلاثطعش,Numbers
Fourteen,ar-ba'-ta-'ash,اربعطعش,Numbers
Fifteen,khams-ta-'ash,خمسطعش,Numbers
Twenty,'ish-reen,عشرين,Numbers
Thirty,tha-laa-theen,ثلاثين,Numbers
Forty,ar-ba-'een,اربعين,Numbers
Hundred,miy-ya,مية,Numbers
Thousand,a-lif,الف,Numbers
Cloud,gheem,غيم,Nature
Lightning,barg,برق,Nature
Thunder,ra-'ad,رعد,Nature
Air,ha-wa,هواء,Nature
Dust / dirt,traab,تراب,Nature
Stone,ha-jar,حجر,Nature
Rose,wa-rid,ورد,Nature
Flower,zah-ra,زهرة,Nature
Leaf / paper,wa-ra-ga,ورقة,Nature
Desert,sah-ra,صحراء,Nature
Rooster,deek,ديك,Animals
Hen,di-jaa-ja,دجاجة,Animals
Dove / pigeon,ha-maa-ma,حمامة,Animals
Ant,nam-la,نملة,Animals
Fly,dhu-baa-ba,ذبابة,Animals
Small bird,'as-foor,عصفور,Animals
Snake,hay-ya,حية,Animals
Wolf,dheeb,ذئب,Animals
Sheep (group),gha-nam,غنم,Animals
Donkey,h-maar,حمار,Animals
Bus,baas,باص,Transport
Taxi,tak-si,تكسي,Transport
Train,qi-taar,قطار,Transport
Airplane,tay-yaa-ra,طيارة,Transport
Bicycle,da-raa-ja,دراجة,Transport
Wheel / bike,'a-ja-la,عجلة,Transport
Ship,sa-fee-na,سفينة,Transport
Subway,mit-ro,مترو,Transport
Phone (landline),ta-li-foon,تلفون,Household
Fridge,thal-laa-ja,ثلاجة,Household
Washing machine,ghas-saa-la,غسالة,Household
Iron (clothes),muk-waa,مكواة,Household
Broom / vacuum,muk-na-sa,مكنسة,Household
Plate,sa-hin,صحن,Household
Cup / glass,kaa-sa,كاسة,Household
Spoon,mil-'a-ga,ملعقة,Household
Fork,shoo-ka,شوكة,Household
Knife,si-cheen,سكين,Household
I buy,ash-tri,اشتري,Verbs
I sell,a-bee',ابيع,Verbs
I pay,ad-fa',ادفع,Verbs
I take,aa-khudh,اخذ,Verbs
I give,a'-ti,اعطي,Verbs
I cook,at-bukh,اطبخ,Verbs
I wash,agh-sil,اغسل,Verbs
I wear,al-bas,البس,Verbs
I sit,aq-'ud,اقعد,Verbs
I stand,aw-gaf,اوگف,Verbs
I leave / go up,at-la',اطلع,Verbs
I go down,an-zil,انزل,Verbs
I open,af-tah,افتح,Verbs
I close,as-kur,اسكر,Verbs
I keep / put,a-khal-li,اخلي,Verbs
I work,ash-tu-ghul,اشتغل,Verbs
I study,ad-rus,ادرس,Verbs
I think,a-fak-kir,افكر,Verbs
I do / make,a'-mal,اعمل,Verbs
I help,a-saa-'id,اساعد,Verbs
Big,chi-beer,كبير,Adjectives
Small,sgheer,صغير,Adjectives
Tall / long,tweel,طويل,Adjectives
Short,ga-seer,قصير,Adjectives
Heavy,thi-geel,ثقيل,Adjectives
Light (weight),kha-feef,خفيف,Adjectives
Fast,sa-ree',سريع,Adjectives
Slow,ba-tee,بطيء,Adjectives
Expensive,ghaa-li,غالي,Adjectives
Cheap,ra-khees,رخيص,Adjectives
New,ji-deed,جديد,Adjectives
Old (thing),ga-deem,قديم,Adjectives
Clean,na-dheef,نظيف,Adjectives
Dirty,wi-sikh,وسخ,Adjectives
Difficult,sa-'ub,صعب,Adjectives
How,shloon,شلون,Question
Here,hnaa,هنا,Direction
There,hnaak,هناك,Direction
Up / above,foog,فوق,Direction
Under,taht,تحت,Direction
We,ih-na,احنا,Pronouns
