#,Arabic,Pronunciation,English,Visual,Category
1,واحد,waa-hid,One,1️⃣,NUMBERS
2,اثنين,ith-nayn,Two,2️⃣,NUMBERS
3,ثلاثة,tha-laa-tha,Three,3️⃣,NUMBERS
4,أربعة,ar-ba-a,Four,4️⃣,NUMBERS
5,خمسة,kham-sa,Five,5️⃣,NUMBERS
6,ستة,sit-ta,Six,6️⃣,NUMBERS
7,سبعة,sab-a,Seven,7️⃣,NUMBERS
8,ثمانية,tha-maa-nya,Eight,8️⃣,NUMBERS
9,تسعة,tis-a,Nine,9️⃣,NUMBERS
10,عشرة,ash-a-ra,Ten,🔟,NUMBERS
11,أسود,as-wad,Black,⬛,COLOURS
12,أبيض,ab-yad,White,⬜,COLOURS
13,أحمر,ah-mar,Red,🔴,COLOURS
14,أخضر,akh-dar,Green,🟢,COLOURS
15,أزرق,az-raq,Blue,🔵,COLOURS
16,أصفر,as-far,Yellow,🟡,COLOURS
17,وردي,war-di,Pink,🩷,COLOURS
18,تمن,tim-man,Rice,🍚,FOOD
19,فراولة,fa-raw-la,Strawberry,🍓,FOOD
20,تفاح,tuf-fah,Apple,🍎,FOOD
21,تمر,tam-mar,Dates (fruit),🌴,FOOD
22,سكر,suk-kar,Sugar,🍬,FOOD
23,شاي,shaay,Tea,🍵,FOOD
24,أكل,ak-kal,Food / to eat,🍽️,FOOD
25,ماي,maay,Water,💧,FOOD
26,فواكه,faw-aa-keh,Fruits,🍇,FOOD
27,دجاج,da-jaaj,Chicken,🍗,FOOD
28,لحم,la-hem,Meat,🥩,FOOD
29,خضار,khu-daar,Vegetables,🥦,FOOD
30,بطيخ,bat-teekh,Watermelon,🍉,FOOD
31,ياكل,yaa-kul,He eats,😋,ACTIONS
32,يشرب,yash-rab,He drinks,🥤,ACTIONS
33,ينام,ya-naam,He sleeps,😴,ACTIONS
34,يلعب,yal-ab,He plays,⚽,ACTIONS
35,يمشي,yam-shi,He walks,🚶,ACTIONS
36,يركض,yar-kud,He runs,🏃,ACTIONS
37,يسبح,yas-bah,He swims,🏊,ACTIONS
38,يذهب,yath-hab,He goes,➡️,ACTIONS
