English,Transliteration,Arabic (Iraqi),Category
Good morning,sa-baah il-kheir,صباح الخير,Greetings
Good evening,mi-saa il-kheir,مساء الخير,Greetings
Welcome,ah-lan wa sah-lan,اهلا وسهلا,Greetings
Pleased to meet you,tshar-raf-na,تشرفنا,Greetings
Goodbye,ma'a-s-sa-laa-ma,مع السلامة,Greetings
Praise be to God,il-ham-du-lil-laah,الحمد لله,Greetings
God willing,in-shaa-allah,ان شاء الله,Greetings
May God keep you,al-la y-khal-leek,الله يخليك,Greetings
Good night,tis-bah 'a-la kheir,تصبح على خير,Greetings
Many happy returns,kull 'aam w-an-ta b-kheir,كل عام وانت بخير,Greetings
How are you today?,shloo-nak il-yoom,شلونك اليوم,Questions
Where are you going?,wayn raa-yih,وين رايح,Questions
What's your opinion?,shu raa-yak,شو رايك,Questions
How much is it?,sh-gad is-si'-ir,شكد السعر,Questions
What time is it?,sh-gad is-saa-'a,شكد الساعة,Questions
Who is this?,mi-no haa-dha,منو هذا,Questions
What's your name?,shi-nu is-mak,شنو اسمك,Questions
Where's your house?,wayn bay-tak,وين بيتك,Questions
How old are you?,sh-gad 'um-rak,شكد عمرك,Questions
Do you like coffee?,thibb il-gah-wa,تحب القهوة,Questions
Can I get help?,mum-kin mu-saa-'a-da,ممكن مساعدة,Questions
Do you know the address?,ti'-raf il-'in-waan,تعرف العنوان,Questions
What do you do for work?,shi-nu tish-tu-ghul,شنو تشتغل,Questions
Where is the market?,wayn is-soog,وين السوق,Questions
Do you speak English?,tih-chi in-glee-zi,تحجي انجليزي,Questions
I'll go now,has-sa a-rooh,هسه اروح,Daily
I'm tired,aa-ni ta'-baan,اني تعبان,Daily
I'm hungry,aa-ni joo-'aan,اني جوعان,Daily
I'm thirsty,aa-ni 'at-shaan,اني عطشان,Daily
I'm sick,aa-ni ma-reedh,اني مريض,Daily
I'm happy,aa-ni sa-'eed,اني سعيد,Daily
I want water,a-reed maay,اريد ماي,Daily
I want to eat,a-reed aa-kil,اريد آكل,Daily
I want to sleep,a-reed a-naam,اريد انام,Daily
I want to go home,a-reed a-rooh lil-bayt,اريد اروح للبيت,Daily
Let me think,khal-li-ni a-fak-kir,خليني افكر,Daily
Let me see,khal-li-ni a-shoof,خليني اشوف,Daily
I don't know,maa a'-rif,ما اعرف,Daily
I know well,a'-rif zayn,اعرف زين,Daily
I'm coming,aa-ni jaay,اني جاي,Daily
Thank you very much,shuk-ran ja-zee-lan,شكرا جزيلا,Polite
No problem,maa 'a-lay-ha shi,ما عليها شي,Polite
Don't be upset,laa tiz-'al,لا تزعل,Polite
Very sorry,aa-sif jid-dan,آسف جدا,Polite
Please / if you would,law sa-maht,لو سمحت,Polite
Please go ahead,tfad-dal,تفضل,Polite
If possible,i-dha mum-kin,اذا ممكن,Polite
I don't have time,maa 'in-di waqt,ما عندي وقت,Polite
I have work,'in-di shu-ghul,عندي شغل,Polite
See you tomorrow,baa-chir a-shoo-fak,باچر اشوفك,Polite
This is my brother,haa-dha akh-uuy,هذا اخوي,Family
This is my sister,haay ukh-ti,هاي اختي,Family
This is my father,haa-dha ab-uuy,هذا ابوي,Family
This is my mother,haay um-mi,هاي امي,Family
I'm from Iraq,aa-ni min il-'i-raaq,اني من العراق,Family
My name is Hasan,is-mi Ha-san,اسمي حسن,Family
I live in Baghdad,aa-ni as-kun b-Bagh-daad,اني اسكن ببغداد,Family
I have a son,'in-di wa-lad,عندي ولد,Family
I have no siblings,maa 'in-di ikh-waan,ما عندي اخوان,Family
I'm married,aa-ni mit-zaw-wij,اني متزوج,Family
Today is Friday,il-yoom yoom il-jum-'a,اليوم يوم الجمعة,Time
It's ten o'clock,is-saa-'a 'ash-ra,الساعة عشرة,Time
Tomorrow is the holiday,baa-chir il-'ut-la,باچر العطلة,Time
Next week,il-us-buu' il-jaay,الاسبوع الجاي,Time
Last month,ish-sha-har il-maa-dhi,الشهر الماضي,Time
In a little while,ba-'ad shway-ya,بعد شوية,Time
A little while ago,ga-bul shway-ya,قبل شوية,Time
Early in the morning,is-su-buh bad-ri,الصبح بدري,Time
That time,dhich il-mar-ra,ذيك المرة,Time
This time,haay il-mar-ra,هاي المرة,Time
I want coffee,a-reed gah-wa,اريد قهوة,Restaurant
I want tea,a-reed chaay,اريد چاي,Restaurant
"The bill, please",il-faa-too-ra law sa-maht,الفاتورة لو سمحت,Restaurant
This is expensive,haa-dha ghaa-li,هذا غالي,Shopping
I don't have money,maa 'in-di fi-loos,ما عندي فلوس,Shopping
Do you accept Visa?,tig-ba-loon vi-zaa,تقبلون فيزا,Shopping
Give me the change,a'-tee-ni il-baa-gi,اعطيني الباقي,Shopping
This is cheap,haa-dha ra-khees,هذا رخيص,Shopping
I want to see the menu,a-reed a-shoof il-qaa-i-ma,اريد اشوف القائمة,Restaurant
The food is delicious,il-a-kil la-dheedh,الاكل لذيذ,Restaurant
"Another plate, please",mum-kin sa-hin thaa-ni,ممكن صحن ثاني,Restaurant
Without sugar,bi-doon suk-kar,بدون سكر,Restaurant
With milk,ma' il-ha-leeb,مع الحليب,Restaurant
"The bill, please (alt)",il-h-saab law sa-maht,الحساب لو سمحت,Restaurant
Bring me water,jeeb-li maay,جيبلي ماي,Restaurant
Where's the bathroom?,wayn il-ham-mam,وين الحمام,Directions
Go right,rooh ya-meen,روح يمين,Directions
Go left,rooh ya-saar,روح يسار,Directions
Straight ahead,see-da lil-a-maam,سيدا للامام,Directions
Go back,ir-ja' wa-raa,ارجع وراء,Directions
Stop here,hnaa aw-gaf,هنا اوگف,Directions
Nearest station,aq-rab ma-hat-ta,اقرب محطة,Directions
How many kilometres?,kam kee-lo-mi-tir,كم كيلومتر,Directions
Right after the signal,il-ya-meen ba'd il-i-shaa-ra,اليمين بعد الاشارة,Directions
Where's the airport?,wayn il-ma-taar,وين المطار,Travel
Have a nice trip,rih-la sa-'ee-da,رحلة سعيدة,Travel
One ticket,tadh-ka-ra wah-da,تذكرة وحدة,Travel
One way,dhi-haab fa-qat,ذهاب فقط,Travel
Round trip,dhi-haab w-i-yaab,ذهاب واياب,Travel
When does the train leave?,ma-ta yit-la' il-qi-taar,متى يطلع القطار,Travel
I'm a bit tired,aa-ni ta'-baan shway-ya,اني تعبان شوية,Health
My head hurts,raa-si yo-ja'-ni,راسي يوجعني,Health
My stomach hurts,bat-ni to-ja'-ni,بطني توجعني,Health
I can't walk,maa ag-dar am-shi,ما اگدر امشي,Health
I need a doctor,a-reed duk-toor,اريد دكتور,Health
Where's the pharmacy?,wayn is-say-da-liy-ya,وين الصيدلية,Health
I need medicine,a-reed da-waa,اريد دواء,Health
I have a fever,'in-di ha-raa-ra,عندي حرارة,Health
I can't sleep,maa ag-dar a-naam,ما اگدر انام,Health
"Thank god, better",il-ham-du-lil-laah ah-san,الحمد لله احسن,Health
I have a meeting,'in-di ij-ti-maa',عندي اجتماع,Work
I'm at work,aa-ni b-ish-shu-ghul,اني بالشغل,Work
I'm at school,aa-ni b-il-mad-ra-sa,اني بالمدرسة,Work
I finished work,khal-last ish-shu-ghul,خلصت الشغل,Work
I work from home,ash-tu-ghul min il-bayt,اشتغل من البيت,Work
I have an exam,'in-di im-ti-haan,عندي امتحان,Work
I studied a lot,di-rast hwaa-ya,درست هواي,Work
Good manager,mu-deer zayn,مدير زين,Work
My colleague at work,za-mee-li b-ish-shu-ghul,زميلي بالشغل,Work
The salary is good,ir-raa-tib zayn,الراتب زين,Work
Today is hot,il-yoom haarr,اليوم حار,Weather
The weather is nice,ij-jaw la-teef,الجو لطيف,Weather
It's raining a lot,tum-tur hwaa-ya,تمطر هواي,Weather
The sun is strong,ish-shams qa-wiy-ya,الشمس قوية,Weather
Foggy weather,ij-jaw dha-baab,الجو ضباب,Weather
The weather is sweet (nice),ij-jaw hi-lu,الجو حلو,Weather
Lots of snow,thalj hwaa-ya,ثلج هواي,Weather
Today is cloudy,il-yoom gheem,اليوم غيم,Weather
All the family is well,kull il-'aa-i-la b-kheir,كل العائلة بخير,Social
Say hi to your dad,sal-lim 'a-la a-book,سلم على ابوك,Social
Convey my regards,bal-ligh sa-laa-mi,بلغ سلامي,Social
May God protect you,al-la yih-fa-dhkum,الله يحفظكم,Social
Pleased to know you,tshar-raf-na b-ma'-ri-fa-tak,تشرفنا بمعرفتك,Social
Call me,tal-fin-li,تلفنلي,Phone
Send a message,ir-sil ri-saa-la,ارسل رسالة,Phone
What's your number?,wayn raq-mak,وين رقمك,Phone
He doesn't answer,maa y-rid,ما يرد,Phone
Line is busy,il-khat mash-ghool,الخط مشغول,Phone
Charge the battery,shi-hin il-ba-taa-riy-ya,شحن البطارية,Phone
No signal,maa a-ku sha-ba-ka,ما اكو شبكة,Phone
Send an email,ir-sil ee-mayl,ارسل ايميل,Phone
I'm very happy,aa-ni far-haan hwaa-ya,اني فرحان هواي,Emotions
I'm afraid,aa-ni khaa-yif,اني خايف,Emotions
I'm shocked,aa-ni mas-doom,اني مصدوم,Emotions
This is strange,haa-dha gha-reeb,هذا غريب,Emotions
I didn't expect that,maa ta-waq-qa't,ما توقعت,Emotions
This is awesome,haa-dha raw-'a,هذا روعة,Emotions
I'm proud,aa-ni fa-khoor,اني فخور,Emotions
Shame on you,'ayb 'a-layk,عيب عليك,Emotions
Don't be afraid,laa tkhaaf,لا تخاف,Emotions
Smile,ib-ti-sim,ابتسم,Emotions
When do we meet?,ma-ta nil-ta-qi,متى نلتقي,Schedule
Let's go,khal-lee-na nrooh,خلينا نروح,Schedule
See you later,laa-hi-qan a-shoo-fak,لاحقا اشوفك,Schedule
See you next week,il-us-buu' il-jaay a-shoo-fak,الاسبوع الجاي اشوفك,Schedule
Have a nice time,waq-tak hi-lu,وقتك حلو,Schedule
It doesn't matter,maa y-him,ما يهم,Common
Not important,muu mu-him,مو مهم,Common
This is important,haa-dha mu-him,هذا مهم,Common
Correct,sa-heeh,صحيح,Common
